418.570031		Applause	audience
1009.481438		Applause	audience
1149.098192		Applause	audience
1210.343989		Audience laughter	audience
1377.921457		Audience laughter	audience
1653.979025		Applause	audience
1916.21192		Audience groans	audience
1927.639072		Audience laughter and groans	audience
1967.369441		Applause	audience
2562.889073		Audience laughter	audience
2619.651192		Audience laughter	audience
2700.077168		Applause	audience
2820.856246		Audience question relating to prevalence of poetry readings in the period	audience
3105.227301		Audience laughter and groans	audience
3240.920836		Audience member asking question of poets' impressions of impending fascism and their impressions of the people around them	audience
3485.374702		Audience member asking question about the poets' educational backgrounds	audience